channel_id;account_id
3;963347
4;990896
4;995841
4;996927
6;1005890
5;1005925
2;1012337
2;1012345
2;1012352
2;1012367
2;1012383
2;1012435
2;1012480
2;1012518
2;1015125
2;1015148
2;1015208
2;1015212
2;1015678
2;1015908
2;1016082
4;1019069
4;1022104
4;1028896
4;1035901
4;1039326
4;1047695
1;1123497
1;1123498
1;1123500
1;1123504
1;1123509
1;1123513
1;1123517
1;1123519
1;1123560
1;1123570
1;1123578
1;1123581
1;1123589
1;1123596
1;1123605
1;1123613
1;1123618
1;1123620
1;1123637
1;1123640
1;1123644
1;1123648
1;1123649
1;1123650
1;1123659
1;1123679
1;1123686
1;1123691
1;1123698
1;1123699
1;1123702
1;1123714
1;1123724
1;1123732
1;1123739
1;1123741
1;1123758
1;1123770
1;1123786
1;1123797
1;1123801
1;1123815
1;1123816
1;1123818
1;1123819
1;1123831
1;1123837
1;1123839
1;1123840
1;1123846
1;1123848
1;1123849
1;1123852
1;1123855
1;1123857
1;1123862
1;1123869
1;1123875
1;1123882
1;1123883
1;1123884
1;1123887
1;1123895
1;1123908
1;1123911
1;1123922
1;1123923
1;1123928
4;1366777
4;1370071
2;1380531
2;1380531
2;2278760
2;2278760
2;2695565